cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s5,5,5,cut,0.2061,0.779,80000
k5_s5,5,5,within_long_d1,0.9247,1.0,38
k5_s5,5,5,within_long_d2,0.8606,1.0,36
k5_s5,5,5,within_long_d3,0.8267,1.0,34
k5_s5,5,5,within_long_d4,0.8007,1.0,32
k5_s5,5,5,within_long_d5,0.7847,1.0,30
k5_s5,5,5,within_long_d6,0.7762,1.0,28
k5_s5,5,5,within_long_d7,0.7598,1.0,26
k5_s5,5,5,within_long_d8,0.7509,1.0,24
k5_s5,5,5,within_long_d9,0.7452,1.0,22
k5_s5,5,5,within_long_d10,0.745,1.0,20
k5_s5,5,5,within_long_d11,0.7494,1.0,18
k5_s5,5,5,within_long_d12,0.7461,1.0,16
k5_s5,5,5,within_long_d13,0.7321,1.0,14
k5_s5,5,5,within_long_d14,0.7141,1.0,12
k5_s5,5,5,within_long_d15,0.7048,1.0,10
k5_s5,5,5,within_long_d16,0.6953,1.0,8
k5_s5,5,5,within_long_d17,0.691,1.0,6
k5_s5,5,5,within_long_d18,0.6316,1.0,4
k5_s5,5,5,within_long_d19,0.5017,1.0,2
k6_s2,6,2,within_long,0.7908,1.0,174000
k6_s2,6,2,within_short,0.1133,0.1151,18000
k6_s2,6,2,cut,0.0046,0.0654,60000
k6_s2,6,2,cut,0.0046,0.0654,60000
k6_s2,6,2,within_long_d1,0.9337,1.0,58
k6_s2,6,2,within_long_d2,0.8776,1.0,56
k6_s2,6,2,within_long_d3,0.8485,1.0,54
k6_s2,6,2,within_long_d4,0.8321,1.0,52
k6_s2,6,2,within_long_d5,0.8247,1.0,50
k6_s2,6,2,within_long_d6,0.8174,1.0,48
k6_s2,6,2,within_long_d7,0.8085,1.0,46
k6_s2,6,2,within_long_d8,0.8021,1.0,44
k6_s2,6,2,within_long_d9,0.8001,1.0,42
k6_s2,6,2,within_long_d10,0.7928,1.0,40
k6_s2,6,2,within_long_d11,0.7895,1.0,38
k6_s2,6,2,within_long_d12,0.7822,1.0,36
k6_s2,6,2,within_long_d13,0.7776,1.0,34
k6_s2,6,2,within_long_d14,0.775,1.0,32
k6_s2,6,2,within_long_d15,0.7865,1.0,30
k6_s2,6,2,within_long_d16,0.7986,1.0,28
k6_s2,6,2,within_long_d17,0.7973,1.0,26
k6_s2,6,2,within_long_d18,0.7401,1.0,24
k6_s2,6,2,within_long_d19,0.6419,1.0,22
k6_s2,6,2,within_long_d20,0.6401,1.0,20
k6_s2,6,2,within_long_d21,0.636,1.0,18
k6_s2,6,2,within_long_d22,0.6334,1.0,16
k6_s2,6,2,within_long_d23,0.6302,1.0,14
k6_s2,6,2,within_long_d24,0.6262,1.0,12
k6_s2,6,2,within_long_d25,0.6258,1.0,10
k6_s2,6,2,within_long_d26,0.6228,1.0,8
k6_s2,6,2,within_long_d27,0.6187,1.0,6
k6_s2,6,2,within_long_d28,0.6203,1.0,4
k6_s2,6,2,within_long_d29,0.615,1.0,2
k6_s3,6,3,within_long,0.7821,1.0,120000
k6_s3,6,3,within_short,0.1544,0.1632,42000
k6_s3,6,3,cut,0.0051,0.0661,75000
k6_s3,6,3,cut,0.0051,0.0661,75000
k6_s3,6,3,within_long_d1,0.9204,1.0,48
k6_s3,6,3,within_long_d2,0.8568,1.0,46
k6_s3,6,3,within_long_d3,0.8241,1.0,44
k6_s3,6,3,within_long_d4,0.8059,1.0,42
k6_s3,6,3,within_long_d5,0.7974,1.0,40
k6_s3,6,3,within_long_d6,0.7891,1.0,38
k6_s3,6,3,within_long_d7,0.7793,1.0,36
k6_s3,6,3,within_long_d8,0.7729,1.0,34
k6_s3,6,3,within_long_d9,0.7718,1.0,32
k6_s3,6,3,within_long_d10,0.765,1.0,30
k6_s3,6,3,within_long_d11,0.7632,1.0,28
k6_s3,6,3,within_long_d12,0.7579,1.0,26
k6_s3,6,3,within_long_d13,0.7567,1.0,24
k6_s3,6,3,within_long_d14,0.7547,1.0,22
k6_s3,6,3,within_long_d15,0.7713,1.0,20
k6_s3,6,3,within_long_d16,0.7886,1.0,18
k6_s3,6,3,within_long_d17,0.7864,1.0,16
k6_s3,6,3,within_long_d18,0.7077,1.0,14
k6_s3,6,3,within_long_d19,0.5653,1.0,12
k6_s3,6,3,within_long_d20,0.5663,1.0,10
k6_s3,6,3,within_long_d21,0.5658,1.0,8
k6_s3,6,3,within_long_d22,0.5638,1.0,6
k6_s3,6,3,within_long_d23,0.5659,1.0,4
k6_s3,6,3,within_long_d24,0.5594,1.0,2
k6_s4,6,4,within_long,0.8641,1.0,76000
k6_s4,6,4,within_short,0.1001,0.3672,76000
k6_s4,6,4,cut,0.0921,0.4019,80000
k6_s4,6,4,cut,0.0921,0.4019,80000
k6_s4,6,4,within_long_d1,0.9498,1.0,38
k6_s4,6,4,within_long_d2,0.9021,1.0,36
k6_s4,6,4,within_long_d3,0.8765,1.0,34
k6_s4,6,4,within_long_d4,0.8617,1.0,32
k6_s4,6,4,within_long_d5,0.8561,1.0,30
k6_s4,6,4,within_long_d6,0.8546,1.0,28
k6_s4,6,4,within_long_d7,0.8538,1.0,26
k6_s4,6,4,within_long_d8,0.8545,1.0,24
k6_s4,6,4,within_long_d9,0.8565,1.0,22
k6_s4,6,4,within_long_d10,0.8481,1.0,20
k6_s4,6,4,within_long_d11,0.8397,1.0,18
k6_s4,6,4,within_long_d12,0.831,1.0,16
k6_s4,6,4,within_long_d13,0.8313,1.0,14
k6_s4,6,4,within_long_d14,0.8242,1.0,12
k6_s4,6,4,within_long_d15,0.8339,1.0,10
k6_s4,6,4,within_long_d16,0.8427,1.0,8
k6_s4,6,4,within_long_d17,0.8298,1.0,6
k6_s4,6,4,within_long_d18,0.7542,1.0,4
k6_s4,6,4,within_long_d19,0.6454,1.0,2
k7_s2,7,2,within_long,0.825,1.0,151200
k7_s2,7,2,within_short,0.2378,0.6248,26400
k7_s2,7,2,cut,0.205,0.7326,67200
k7_s2,7,2,cut,0.205,0.7326,67200
k7_s2,7,2,within_long_d1,0.9445,1.0,54
k7_s2,7,2,within_long_d2,0.8947,1.0,52
k7_s2,7,2,within_long_d3,0.8682,1.0,50
k7_s2,7,2,within_long_d4,0.8539,1.0,48
k7_s2,7,2,within_long_d5,0.8476,1.0,46
k7_s2,7,2,within_long_d6,0.8419,1.0,44
k7_s2,7,2,within_long_d7,0.836,1.0,42
k7_s2,7,2,within_long_d8,0.8305,1.0,40
k7_s2,7,2,within_long_d9,0.8284,1.0,38
k7_s2,7,2,within_long_d10,0.8214,1.0,36
k7_s2,7,2,within_long_d11,0.8177,1.0,34
k7_s2,7,2,within_long_d12,0.8109,1.0,32
k7_s2,7,2,within_long_d13,0.8091,1.0,30
k7_s2,7,2,within_long_d14,0.8086,1.0,28
k7_s2,7,2,within_long_d15,0.8219,1.0,26
k7_s2,7,2,within_long_d16,0.8342,1.0,24
k7_s2,7,2,within_long_d17,0.8286,1.0,22
k7_s2,7,2,within_long_d18,0.7702,1.0,20
k7_s2,7,2,within_long_d19,0.6809,1.0,18
k7_s2,7,2,within_long_d20,0.6769,1.0,16
k7_s2,7,2,within_long_d21,0.6733,1.0,14
k7_s2,7,2,within_long_d22,0.6698,1.0,12
k7_s2,7,2,within_long_d23,0.6711,1.0,10
k7_s2,7,2,within_long_d24,0.67,1.0,8
k7_s2,7,2,within_long_d25,0.667,1.0,6
k7_s2,7,2,within_long_d26,0.6685,1.0,4
k7_s2,7,2,within_long_d27,0.6641,1.0,2
k7_s3,7,3,within_long,0.825,1.0,92400
k7_s3,7,3,within_short,0.407,0.9951,61200
k7_s3,7,3,cut,0.2685,0.9265,79200
k7_s3,7,3,cut,0.2685,0.9265,79200
k7_s3,7,3,within_long_d1,0.932,1.0,42
k7_s3,7,3,within_long_d2,0.8747,1.0,40
k7_s3,7,3,within_long_d3,0.8437,1.0,38
k7_s3,7,3,within_long_d4,0.8271,1.0,36
k7_s3,7,3,within_long_d5,0.8212,1.0,34
k7_s3,7,3,within_long_d6,0.8169,1.0,32
k7_s3,7,3,within_long_d7,0.8122,1.0,30
k7_s3,7,3,within_long_d8,0.8104,1.0,28
k7_s3,7,3,within_long_d9,0.8137,1.0,26
k7_s3,7,3,within_long_d10,0.8096,1.0,24
k7_s3,7,3,within_long_d11,0.8071,1.0,22
k7_s3,7,3,within_long_d12,0.7989,1.0,20
k7_s3,7,3,within_long_d13,0.797,1.0,18
k7_s3,7,3,within_long_d14,0.794,1.0,16
k7_s3,7,3,within_long_d15,0.8089,1.0,14
k7_s3,7,3,within_long_d16,0.8211,1.0,12
k7_s3,7,3,within_long_d17,0.8155,1.0,10
k7_s3,7,3,within_long_d18,0.7436,1.0,8
k7_s3,7,3,within_long_d19,0.6195,1.0,6
k7_s3,7,3,within_long_d20,0.6217,1.0,4
k7_s3,7,3,within_long_d21,0.6167,1.0,2
